type,name_of_the_university,address,zip,state,status,url
Deemed to be Universities,Indain Institute of Foreigen Trade,"IIFT Bhawan, B-21, Qutub Institutional Area",110016,Delhi,Section-III & 12(B),http://www.iift.edu
Deemed to be Universities,Indian Agricultural Research Institute,"PUSA IARI,  New Delhi",110012,Delhi,Section-III & 12(B),http://www.iari.res.in
Deemed to be Universities,Indian Association for the Cultivation of Science (IACS),"Raja S.C. Mullick Road, Jadavpur, Kolkata",700032,West Bengal,Section-III,http://www.iacs.res.in
Deemed to be Universities,Indian Institute for Human Settlements (IIHS) Bengaluru and Kengeri (constituent unit),"No. 197/36, 2nd Main Road Sadashivanagar, Bengaluru",560080,Karnataka,Section-III,https://iihs.co.in
Deemed to be Universities,Indian Institute of Forest Management (IIFM),"PO Box 357, Nehru Nagar, Bhopal,",462003,Madhya Pradesh,Section-III,https://iifm.ac.in
Deemed to be Universities,Indian Institute of Heritage,"National Museum, Janpath, New Delhi",110001,Delhi,Section-III,http://nmi.gov.in
Deemed to be Universities,Indian Institute of Mass Communication (IIMC),"JNU New Campus, Aruna Asaf Ali Marg, New Delhi",110067,Delhi,Section-III,https://iimc.nic.in
Deemed to be Universities,Indian Institute of Science,"Sir C.V. Raman Road, Bangalore",560012,Karnataka,Section-III & 12(B),https://iisc.ac.in
Deemed to be Universities,Indian Institute of Space Science and Technology,"Valiamala Post, Thiruvananthapuram",695547,Kerala,Section-III,http://www.iist.ac.in
Deemed to be Universities,Indian Law Institute,"Opposite Supreme Court of India, Bhagwan Dass Road",110001,Delhi,Section-III & 12(B),https://ili.ac.in
Deemed to be Universities,Indian Veterinary Research Institute,"Izatnagar, Bareilly",24311,Uttar Pradesh,Section-III,http://www.ivri.nic.in
Deemed to be Universities,Indira Gandhi Institute of Development Research,"Gen Arun Kumar Vaidya Marg, Film City Rd, Goregaon, Mumbai",400065,Maharashtra,Section-III,http://www.igidr.ac.in
Deemed to be Universities,Institute of Advanced Studies in Education,"Gandhi Vidya Mandir, Sardarshahr, Dist: Churu",331403,Rajasthan,Section-III,http://www.iaseuniversity.org.in
Deemed to be Universities,Institute of Chemical Technology,"Nathalal Parekh Marg, Matunga, Mumbai",400019,Maharashtra,Section-III & 12(B),https://www.ictmumbai.edu.in
Deemed to be Universities,Institute of Liver and Biliary Sciences(ILBS),"D-1, Vasant Kunj",110070,Delhi,Section-III & 12(B),https://www.ilbs.in
Deemed to be Universities,International Institute for Population Sciences,"Govandi Station Road, Deonar, Mumbai",400088,Maharashtra,Section-III,https://www.iipsindia.ac.in
Deemed to be Universities,International Institute of Information Technology,"Prof C R Rao Road, Gachibowli, Hyderabad",500032,Telangana,Section-III,http://www.iiit.ac.in
Deemed to be Universities,International Institute of Information Technology,"Electronics City, Hosur Road, Bangalore",560100,Karnataka,Section-III & 12(B),http://www.iiitb.ac.in
Deemed to be Universities,Jain,"Dr. A. N. Krishna Rao Road, V. V. Puram, Bangalore",560004,Karnataka,Section-III & 12(B),https://www.ugc.gov.in/universitydetails/www.jainuniversity.ac.in
Deemed to be Universities,Jain Vishva Bharati Institute,"Ladnun, Dist. Nagaur",341306,Rajasthan,Section-III & 12(B),http://jvbi.ac.in
Deemed to be Universities,Jamia Hamdard,"Hamdard Nagar, New Delhi",110062,Delhi,Section-III & 12(B),http://www.jamiahamdard.edu
Deemed to be Universities,Janardan Rai Nagar Rajasthan Vidyapeeth,"Airport Road, Pratap Nagar, Udaipur",313001,Rajasthan,Section-III,https://jrnrvu.edu.in
Deemed to be Universities,Jawahar Lal Nehru Centre for Advanced Scientific Research,"Rachenahalli Lake Rd, Jakkur, Bengaluru",560064,Karnataka,Section-III & 12(B),http://www.jncasr.ac.in
Deemed to be Universities,Jaypee Institute of Information Technology,"A-10, Sector-62 Noida",201309,Uttar Pradesh,Section-III,http://www.jiit.ac.in
Deemed to be Universities,JSS Academy of Higher Education & Research,"JSS Medical Institution Campus, Sri Shivarathreeshwara Nagara, Mysore",570015,Karnataka,Section-III & 12(B),https://www.ugc.gov.in/universitydetails/www.jssuni.edu.in
Deemed to be Universities,K.L.E. Academy of Higher Education and Research,"JNMC Campus, Nehru Nagar, Belagavi",590010,Karnataka,Section-III & 12(B),https://kaher.edu.in
Deemed to be Universities,Kalasalingam Academy of Research and Education,"Krishnankoil, Srivilliputhur",626126,Tamil Nadu,Section-III & 12(B),https://kalasalingam.ac.in
Deemed to be Universities,Kalinga Institute of Industrial Technology,"KIIT Rd, Patia, Bhubaneswar",751024,Odisha,Section-III & 12(B),https://kiit.ac.in
Deemed to be Universities,Kalinga Institute of Social Sciences,"Campus 10, Bhubaneswar",751024,Odisha,Section-III,https://kiss.ac.in
Deemed to be Universities,Karpagam Academy of Higher Education,"Pollachi Main Road, Eachanari Post, Coimbatore",641021,Tamil Nadu,Section-III,https://kahedu.edu.in
Deemed to be Universities,Karunya Institute of Technology and Sciences,"Karunya Nagar, Coimbatore",641114,Tamil Nadu,Section-III & 12(B),https://www.karunya.edu
Deemed to be Universities,Kendriya Hindi Sansthan,"Hindi Sansthan Marg, Agra",282005,Uttar Pradesh,Section-III,https://khsindia.org
Deemed to be Universities,Kerala Kalamandalam,"Vallathol Nagar, Cheruthuruthy, Thrissur",679531,Kerala,Section-III & 12(B),https://www.kalamandalam.ac.in
Deemed to be Universities,Koneru Lakshmaiah Education Foundation,"Vaddeswaram, guntur",522502,Andhra Pradesh,Section-III & 12(B),http://www.kluniversity.in
Deemed to be Universities,Krishna Institute of Engineering & Technology (KIET),"Ghaziabad, Delhi-NCR, Ghaziabad-Meerut Road, Ghaziabad",201206,Uttar Pradesh,Section-III,https://www.kiet.edu
Deemed to be Universities,Krishna Vishwa Vidyapeeth,"Near Dhebewadi Road, Karad, Distt. Satara",415539,Maharashtra,Section-III,https://kvv.edu.in
Deemed to be Universities,Kristu  Jayanti,"K. Narayanapura, Kothanur P O, Bengaluru",560077,Karnataka,Section-III,https://kristujayanti.edu.in
